"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer","Part"
"C1,C2,C3,C4,C5","22μF","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/339/CL21A226MAYNNNE_Spec.pdf","Capacitor_SMD:C_0805_2012Metric","5","","Samsung Electro-Mechanics","CL21A226MAYNNNE"
"D1","D_Schottky","https://assets.nexperia.com/documents/data-sheet/PMEG10030ELP.pdf","Custom:D_SOD-128","1","","Nexperia USA Inc.","PMEG10030ELPX"
"D2","D_Zener","https://semtech.my.salesforce.com/sfc/p/#E0000000JelG/a/2R000000UnaW/6sOvwFk2B_mQIjtUCoaHvma6qnHHWm9s784Kyn_XC9w","Custom:DFN6_TDS3011_SEM","1","","Semtech Corporation","TDS3011P.C"
"D3,D4,D5,D6","LED_Pad","https://downloads.cree-led.com/files/ds/x/XLamp-XE-G.pdf","Custom:LED_XLAMP_XE-G_CRW","4","","Cree LED","XEGAGR-H0-0000-000-000000T6001"
"H5,H6,H7,H8","MountingHole","https://www.keyelco.com/userAssets/file/M65p135.pdf","","4","","Keystone Electronics","9302"
"HS1","Heatsink","https://wakefieldthermal.com/content/data_sheets/ELLIPTICAL%20FIN%20HEAT%20SINK.pdf","","1","","Wakefield-Vette","906-31-1-23-2-B-0"
"IC1","AL8843QSP-13","https://www.diodes.com/assets/Datasheets/AL8843Q.pdf","Custom:SO-8EP_3P9X4P95_DIO","1","","Diodes Incorporated","AL8843QSP-13"
"J1","Conn_01x08_Socket","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6129/ssm-1xx-xxx-xx-xx-xx-xx-x-xx-mkt.pdf","Custom:SAMTEC_SSM-108-F-SH-TR","1","","Samtec Inc.","SSM-108-F-SH-TR"
"J2","0","https://www.keyelco.com/userAssets/file/M65p54.pdf","Resistor_SMD:R_1206_3216Metric","1","","Keystone Electronics","5104"
"J3","RJ45_Shielded","https://www.assmann-wsw.com/uploads/datasheets/ASS_7946_CA.pdf","","1","","Assmann WSW Components","AMJF0808-0100-GNB-26"
"J4","Conn_01x08_Pin","https://www.we-online.com/components/products/datasheet/61300811121.pdf","","1","","Würth Elektronik","61300811121"
"L1","47μH","https://www.bourns.com/docs/Product-Datasheets/SRP1038A.pdf","Custom:SRP1038A-220M_BRN","1","","Bourns Inc.","SRP1038AA-470M"
"M2","Fan_4pin","https://wakefieldthermal.com/content/data_sheets/wfv-dc-fans-rev-a3%20%281%29.pdf","","1","","Wakefield-Vette","DC0351012W2B-BT0"
"Q5,Q6","2x_p-channel","-- mixed values --","Custom:SOP-8_3.9x4.9mm_P1.27mm","2","","Goford Semiconductor","G200P04S2"
"R1","0.040","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5343/PE_Series_DS.pdf","Resistor_SMD:R_1206_3216Metric","1","","YAGEO","PE1206FKE470R04Z"
"R2","4700","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","Resistor_SMD:R_0603_1608Metric","1","","Stackpole Electronics Inc","RMCF0603FT4K70"
"RN1","4700","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf","Resistor_SMD:R_Array_Convex_4x1206","1","","YAGEO","YC324-JK-074K7L"
"TH1","Thermistor","https://www.murata.com/products/productdata/8796839149598/NTHCG158.txt?1437969900000","Resistor_SMD:R_0603_1608Metric","1","","Murata Electronics","NCP18XM472J03RB"
