"Reference","Value","Datasheet","Footprint","Qty","DNP","Manufacturer","Part","Description"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11","1µF","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/658/CL10A105KB8NNNC_Spec.pdf","Capacitor_SMD:C_0603_1608Metric","11","","Samsung Electro-Mechanics","CL10A105KB8NNNC","CAP CER 1UF 50V X5R 0603"
"C12","220µF","https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","","Rubycon","25YXJ220M6.3X11","CAP ALUM 220UF 20% 25V RADIAL TH"
"D1,D2","BAT54BRW","https://www.diodes.com/assets/Datasheets/ds30152.pdf","Package_TO_SOT_SMD:SOT-363_SC-70-6","2","","Diodes Incorporated","BAT54BRW-7-F","DIODE ARR SCHOT 30V 200MA SOT363"
"J1","Barrel_Jack_Switch","https://tensility.s3-us-west-2.amazonaws.com/uploads/product_doc/document/4054/54-00165.pdf","Custom Footprints:DC-jack_54-00165","1","","Tensility International Corp","54-00165",""
"J2","4x RJ45","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/rjsse538004.pdf","Custom Footprints:RJ45_x4-RJSSE-5380-04","1","","Amphenol ICC (Commercial Products)","RJSSE-5380-04","CONN MOD JACK 8P8C R/A SHIELDED"
"J3,J4","Conn_01x24_Female","https://www.samtec.com/partnumber/ssm-124-l-sv-lc?vendor=digikey","","2","","Samtec Inc.","SSM-124-L-SV-LC","CONN RCPT 24POS 0.1 GOLD SMD"
"J5","8P8C_Shielded","https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/p-rje3b-188-6x02-n.pdf","Custom Footprints:1x RJ45","1","","Amphenol ICC (Commercial Products)","RJE3A1886102N","MODULAR JACK - 8P8C, RA, CAT5E,"
"J6","Conn_01x03_Socket","https://cdn.harwin.com/pdfs/M20-786.pdf","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical_SMD_Pin1Left","1","","Harwin Inc.","M20-7860346","CONN RCPT 3POS 0.1 TIN SMD"
"J7","Conn_01x02_Socket","https://app.adam-tech.com/products/download/data_sheet/203013/rs1-xx-g-data-sheet.pdf","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","Adam Tech","RS1-02-G","RECEPTACLE STRIP 2P 2.54MM PITCH"
"LS1","Speaker","https://mspindy.com/technical-guides/transducers-external-drive-piezo/","","1","","Mallory Sonalert Products Inc.","PT-2745WQ","BUZZER PIEZO 5V 30MM FLANGE"
"PS1","15V DC-DC","http://diwellshop.cafe24.com/web/DATASHEET/01_subtitle/4_POWER/2_DC-DC/SRS-1212-2/SR.pdf","Custom Footprints:SRS-1215-2","1","","Diwell Electronics","SRS-1215-2","DC DC CONVERTER 15V 1W"
"PS2","15V DC-DC","http://diwellshop.cafe24.com/web/DATASHEET/01_subtitle/4_POWER/2_DC-DC/SRS-1212-2/SR.pdf","Custom Footprints:SRS-1215-2","1","","Diwell Electronics","SRS-1205-2","DC DC CONVERTER 5V 1W"
"RN1,RN2,RN4","3600","https://www.bourns.com/docs/Product-Datasheets/CATCAY.pdf","Resistor_SMD:R_Array_Convex_4x0603","3","","Bourns Inc.","CAY16-362J4LF","RES ARRAY 4 RES 3.6K OHM 1206"
"RN3","390","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-yc_tc_group_51_rohs_l.pdf","Resistor_SMD:R_Array_Convex_4x0603","1","","YAGEO","YC164-JR-07390RL","RES ARRAY 4 RES 390 OHM 1206"
"RV1,RV2,RV3","10k","https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Datasheet/P160.pdf","Custom Footprints:P160KN2-4QC20B10K","3","","TT Electronics/BI","P160KN2-0QA25B10K","POT 10K OHM 1/5W PLASTIC LINEAR"
"SW1,SW2,SW3","ELUMOASAQ2C22","https://www.ckswitches.com/media/1405/elum.pdf","Custom Footprints:ELUMOASAQ2C22_CNK","3","","C&K","ELUMOASAQ2C22","SWITCH PUSH SPDT 0.25A 50V"
"U1,U2,U3","4x Gate Driver","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn75374","Custom Footprints:D16-4x gate driver","3","","Texas Instruments","SN75374D","IC GATE DRVR LOW-SIDE 16SOIC"
"U4","Teensy4.1","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2942/DEV-16996_Web.pdf","Custom Footprints:Teensy_3_6_with_headers","1","","SparkFun Electronics","1568-DEV-16996-ND","TEENSY 4.1 (HEADERS)"
"U5","3x Analog Switch","https://www.ti.com/lit/ds/scls430k/scls430k.pdf","Custom Footprints:SN74LV4053ADR","1","","Texas Instruments","SN74LV4053ADR","IC SWITCH SPDT X 3 75OHM 16SOIC"
"U6","3x 10-Bit DAC","https://www.ti.com/lit/ds/symlink/dac104s085-q1.pdf","Custom Footprints:DAC084S085CIMMXNOPB","1","","Texas Instruments","DAC104S085QIMMX/NOPB","IC DAC 10BIT V-OUT 10VSSOP"
"U7","3x Level Shifter","https://assets.nexperia.com/documents/data-sheet/NXB0104.pdf","Custom Footprints:TSSOP14_NXB0104_NEX","1","","Nexperia USA Inc.","NXB0104PWJ","IC TRANSLATOR BIDIR 14TSSOP"
