Designator,Mid X,Mid Y,Rotation,Layer
C1,-24.785,-2.96,90.0,top
C10,-21.657704,-19.379999,0.0,top
C2,-22.825,-2.96,90.0,top
C3,-21.657704,-5.64,0.0,top
C4,-21.657704,-7.602857,0.0,top
C5,-21.657704,-9.565714,0.0,top
C6,-21.657704,-11.528571,0.0,top
C7,-21.657704,-13.491428,0.0,top
C8,-21.657704,-15.454285,0.0,top
C9,-21.657704,-17.417142,0.0,top
D1,-24.24,1.955,90.0,top
D2,0.0,0.0,90.0,top
H1,-30.0,30.0,0.0,top
H2,30.0,30.0,0.0,top
H3,-30.0,-30.0,0.0,top
H4,30.0,-30.0,0.0,top
IC1,-29.4751,-1.17,0.0,top
J1,0.0,-20.3175,0.0,top
L1,0.0,30.0,180.0,top
R1,-24.245,6.2301,0.0,top
R2,-21.88,-21.26,180.0,top
TH1,-3.731846,-5.5178,0.0,top
